Season,Year,Min_Temperature,Max_Temperature,Min_Rainfall,Max_Rainfall,Temperature,Rainfall,Price
Winter,2014,9.0,24.5,1.0,54.0,18.0,29.0,300.5
Summer,2014,23.5,41.0,7.0,29.5,40.5,20.0,301.5
Rainy,2014,19.0,34.0,54.0,206.0,22.0,174.0,300.2
Autumn,2014,13.5,31.5,0.0,49.0,25.0,25.5,303.0
Winter,2015,11.0,24.5,6.5,41.5,24.0,13.0,305.0
Summer,2015,23.5,38.5,1.5,27.0,26.5,19.5,306.0
Rainy,2015,22.0,34.0,54.0,209.0,27.0,98.0,304.0
Autumn,2015,13.5,30.0,4.0,43.0,20.5,4.5,305.5
Winter,2016,9.5,25.0,0.0,47.0,18.0,36.5,306.0
Summer,2016,25.0,40.0,0.0,33.0,30.0,7.5,307.5
Rainy,2016,19.5,35.5,48.0,196.0,35.0,147.0,308.0
Autumn,2016,16.0,30.0,0.0,52.0,22.0,10.0,308.5
Winter,2017,9.0,23.5,0.0,49.5,20.0,21.0,309.5
Summer,2017,24.5,38.0,0.0,38.0,36.0,35.0,311.0
Rainy,2017,22.0,36.5,57.0,201.0,36.0,157.0,310.5
Autumn,2017,15.5,32.0,9.0,50.5,22.0,32.0,311.5
Winter,2018,9.0,24.5,0.0,60.0,9.5,36.5,313.0
Summer,2018,26.0,40.0,0.0,30.0,39.0,10.5,314.5
Rainy,2018,20.5,34.5,41.5,192.0,22.5,132.0,313.5
Autumn,2018,17.0,31.0,0.0,42.0,25.5,38.0,315.0
Winter,2019,9.0,26.5,0.0,42.0,14.5,39.0,316.5
Summer,2019,24.5,40.5,0.0,23.5,26.5,15.5,317.5
Rainy,2019,19.5,33.5,48.5,201.0,32.0,130.5,316.5
Autumn,2019,13.5,29.5,5.5,55.0,18.5,48.5,318.5
Winter,2020,10.0,25.0,6.0,54.0,17.0,53.0,319.0
Summer,2020,24.0,41.5,2.0,21.5,30.5,10.5,320.5
Rainy,2020,19.0,35.5,57.0,204.0,20.0,124.0,320.0
Autumn,2020,15.0,30.0,0.0,57.0,17.0,50.5,321.5
Winter,2021,12.0,26.0,8.0,41.5,13.5,12.5,322.5
Summer,2021,26.5,38.5,0.0,25.5,34.0,14.5,323.5
Rainy,2021,21.5,36.5,57.5,208.0,36.0,101.0,323.0
Autumn,2021,13.0,31.0,0.0,57.5,22.0,57.0,324.0
Winter,2022,11.0,25.0,0.0,54.0,18.5,21.0,325.0
Summer,2022,25.0,40.0,4.0,34.0,26.0,10.5,326.0
Rainy,2022,21.5,35.0,49.5,206.0,33.5,174.5,325.5
Autumn,2022,13.5,30.5,0.0,50.0,25.5,5.5,327.5
Winter,2023,11.5,25.0,0.0,55.5,14.5,40.0,328.5
Summer,2023,26.5,39.5,0.5,35.5,37.0,17.0,329.5
Rainy,2023,19.0,36.5,40.5,203.0,24.5,93.5,330.5
Autumn,2023,15.0,30.0,0.0,41.0,27.5,13.5,331.5
Winter,2024,9.5,25.0,2.5,51.0,19.5,15.5,332.0
Summer,2024,23.0,41.5,1.0,31.0,26.5,14.5,333.0
Rainy,2024,20.5,36.5,41.5,193.5,28.5,94.0,334.0
Autumn,2024,16.0,28.5,0.0,51.0,23.0,30.5,335.0
